nwscode,rivgroup
EFBC1,SouthernCalifornia
CSKC1,SouthernCalifornia
CMIC1,CentralCoast
FMDC1,American
NMFC1,American
NFDC1,American
MFAC1,American
LNLC1,American
HLLC1,American
RRGC1,American
RUFC1,American
UNVC1,American
SVCC1,American
ICHC1,American
NIMC1,American
FOLC1,American
CBAC1,American
AKYC1,American
RBBC1,American
MUPC1,CachePutah
HOUC1,CachePutah
INVC1,CachePutah
SKPC1,CachePutah
HCHC1,CachePutah
CLKC1,CachePutah
KCVC1,CachePutah
RMSC1,CachePutah
YLOC1,CachePutah
PCGC1,CachePutah
LBEC1,CachePutah
ALQC1,CentralCoast
LRZC1,CentralCoast
NILC1,CentralCoast
ACSC1,CentralCoast
AWEC1,CentralCoast
CVQC1,CentralCoast
SFCC1,CentralCoast
ADLC1,CentralCoast
MPTC1,CentralCoast
LVKC1,CentralCoast
AHOC1,CentralCoast
CYEC1,CentralCoast
BTEC1,CentralCoast
LRRC1,CentralCoast
COYC1,CentralCoast
ANDC1,CentralCoast
PHOC1,CentralCoast
AROC1,CentralCoast
SPRC1,CentralCoast
HOSC1,CentralCoast
TESC1,CentralCoast
RDRC1,CentralCoast
BSRC1,CentralCoast
PIIC1,CentralCoast
SOLC1,CentralCoast
CHLC1,CentralCoast
KCYC1,CentralCoast
LWDC1,CentralCoast
SDDC1,CentralCoast
NBYC1,CentralCoast
SNRC1,CentralCoast
NACC1,CentralCoast
BRDC1,CentralCoast
PRBC1,CentralCoast
ESRC1,CentralCoast
SUSC1,EastSierra
NIXN2,EastSierra
ILAC1,EastSierra
STPC1,EastSierra
SGNC1,EastSierra
VISN2,EastSierra
WADN2,EastSierra
BCAC1,EastSierra
TRRN2,EastSierra
PSRC1,EastSierra
DNRC1,EastSierra
SCWN2,EastSierra
FARC1,EastSierra
MTSC1,EastSierra
TBDN2,EastSierra
TRCC1,EastSierra
FTCN2,EastSierra
WALN2,EastSierra
TAHC1,EastSierra
STWN2,EastSierra
WOOC1,EastSierra
GRDN2,EastSierra
MASN2,EastSierra
WWHN2,EastSierra
CEMC1,EastSierra
HOYN2,EastSierra
WWBC1,EastSierra
EWSN2,EastSierra
BPRC1,EastSierra
SCRN2,EastSierra
LWON2,EastSierra
PLLC1,FeatherYuba
NFEC1,FeatherYuba
WBGC1,FeatherYuba
PLGC1,FeatherYuba
SCBC1,FeatherYuba
IIFC1,FeatherYuba
ORDC1,FeatherYuba
MRMC1,FeatherYuba
NBBC1,FeatherYuba
HCTC1,FeatherYuba
GYRC1,FeatherYuba
DMCC1,FeatherYuba
OURC1,FeatherYuba
MFTC1,FeatherYuba
JKRC1,FeatherYuba
BWKC1,FeatherYuba
HLEC1,FeatherYuba
YUBC1,FeatherYuba
FOCC1,FeatherYuba
JNSC1,FeatherYuba
MRYC1,FeatherYuba
DCSC1,FeatherYuba
SUAC1,FeatherYuba
ROLC1,FeatherYuba
DCWC1,FeatherYuba
NCOC1,FeatherYuba
CFWC1,FeatherYuba
MDCN2,Humboldt
MARN2,Humboldt
MBON2,Humboldt
LHPN2,Humboldt
MHSN2,Humboldt
DVGN2,Humboldt
ROCN2,Humboldt
RYPN2,Humboldt
CMSN2,Humboldt
HRIN2,Humboldt
PALN2,Humboldt
HREN2,Humboldt
LCLN2,Humboldt
HRCN2,Humboldt
DIXN2,Humboldt
HBMN2,Humboldt
CNBC1,UpperSacramento
PLYC1,UpperSacramento
PITC1,UpperSacramento
MMCC1,UpperSacramento
DLTC1,UpperSacramento
MSSC1,UpperSacramento
SHDC1,UpperSacramento
WHSC1,UpperSacramento
KESC1,UpperSacramento
RDGC1,UpperSacramento
CWCC1,UpperSacramento
BDBC1,UpperSacramento
COTC1,UpperSacramento
CWAC1,UpperSacramento
EDCC1,UpperSacramento
TEHC1,UpperSacramento
MLMC1,UpperSacramento
DCVC1,UpperSacramento
TCRC1,UpperSacramento
VWBC1,UpperSacramento
HKCC1,UpperSacramento
BKCC1,UpperSacramento
ORFC1,UpperSacramento
BLBC1,UpperSacramento
SGEC1,UpperSacramento
RCVC1,UpperSacramento
EPRC1,UpperSacramento
FMWC1,UpperSacramento
DLMC1,Tulare
KTRC1,Tulare
TMDC1,Tulare
PFTC1,Tulare
MLPC1,Tulare
KKVC1,Tulare
SKRC1,Tulare
ISAC1,Tulare
SCSC1,Tulare
HSAC1,SouthernCalifornia
TWDC1,SouthernCalifornia
GARC1,SouthernCalifornia
SSQC1,SouthernCalifornia
SLUC1,SouthernCalifornia
NRWC1,SouthernCalifornia
CCHC1,SouthernCalifornia
CYBC1,SouthernCalifornia
PYMC1,SouthernCalifornia
LLYC1,SouthernCalifornia
SESC1,SouthernCalifornia
VRVC1,SouthernCalifornia
LKPC1,SouthernCalifornia
VCAC1,SouthernCalifornia
SCPC1,SouthernCalifornia
CLLC1,SouthernCalifornia
SVIC1,SouthernCalifornia
ELPC1,SouthernCalifornia
FSNC1,SouthernCalifornia
MUTC1,SouthernCalifornia
SMHC1,SouthernCalifornia
VLKC1,SouthernCalifornia
YDRC1,SouthernCalifornia
TEKC1,SouthernCalifornia
SLOC1,SouthernCalifornia
SHRC1,SouthernCalifornia
HAWC1,SouthernCalifornia
MBRC1,SouthernCalifornia
MVVC1,SouthernCalifornia
MVDC1,SouthernCalifornia
WFMC1,SouthernCalifornia
SVWC1,SouthernCalifornia
DKHC1,SouthernCalifornia
KNBC1,SouthernCalifornia
YTLC1,SouthernCalifornia
SRWC1,SouthernCalifornia
SREC1,SouthernCalifornia
MWXC1,SouthernCalifornia
ADOC1,SouthernCalifornia
TIMC1,SouthernCalifornia
LKMC1,SouthernCalifornia
TSLC1,SouthernCalifornia
MSYC1,SouthernCalifornia
WIPC1,SouthernCalifornia
WWIC1,SouthernCalifornia
WTIC1,SouthernCalifornia
PCNC1,SouthernCalifornia
DEPC1,SouthernCalifornia
WHWC1,SouthernCalifornia
EXQC1,SanJoaquin
POHC1,SanJoaquin
HPIC1,SanJoaquin
FRAC1,SanJoaquin
NWMC1,SanJoaquin
DRYC1,SanJoaquin
DSNC1,SanJoaquin
MDSC1,SanJoaquin
KNFC1,SanJoaquin
HIDC1,SanJoaquin
BHNC1,SanJoaquin
MPAC1,SanJoaquin
OWCC1,SanJoaquin
BCKC1,SanJoaquin
BNCC1,SanJoaquin
MEEC1,SanJoaquin
STVC1,SanJoaquin
PATC1,SanJoaquin
VNSC1,SanJoaquin
DCMC1,SanJoaquin
OBBC1,SanJoaquin
RIPC1,SanJoaquin
MOSC1,SanJoaquin
PTTC1,SanJoaquin
OREC1,SanJoaquin
LTDC1,SanJoaquin
PNEC1,SanJoaquin
LGAC1,SanJoaquin
WARC1,SanJoaquin
LGCC1,SanJoaquin
CHVC1,SanJoaquin
LNRC1,SanJoaquin
NDPC1,SanJoaquin
NDVC1,SanJoaquin
NSWC1,SanJoaquin
AVYC1,SanJoaquin
NMSC1,SanJoaquin
UKAC1,RussianNapa
LAMC1,RussianNapa
HOPC1,RussianNapa
GRCC1,RussianNapa
NVRC1,RussianNapa
CDLC1,RussianNapa
WSDC1,RussianNapa
GSRC1,RussianNapa
HEAC1,RussianNapa
SHEC1,RussianNapa
HNEC1,RussianNapa
GUEC1,RussianNapa
APCC1,RussianNapa
FTDC1,NorthCoast
CREC1,NorthCoast
ORIC1,NorthCoast
BLKC1,NorthCoast
FRNC1,NorthCoast
ARCC1,NorthCoast
RDAC1,NorthCoast
BRGC1,NorthCoast
MTOC1,NorthCoast
SCOC1,NorthCoast
ETTC1,NorthCoast
MAUC1,NorthCoast
MRNC1,NorthCoast
LEGC1,NorthCoast
DOSC1,NorthCoast
FTBC1,NorthCoast
FTSC1,NorthCoast
PLBC1,NorthCoast
FRGC1,N_SanJoaquin
MSGC1,N_SanJoaquin
NHGC1,N_SanJoaquin
THTC1,N_SanJoaquin
CMCC1,N_SanJoaquin
CMPC1,N_SanJoaquin
EDOC1,N_SanJoaquin
MCNC1,N_SanJoaquin
SOSC1,N_SanJoaquin
MHBC1,N_SanJoaquin
SACC1,LowerSacramento
SAMC1,LowerSacramento
RVBC1,LowerSacramento
BOYO3,Klamath
BTYO3,Klamath
BURC1,Klamath
CEGC1,Klamath
CHSO3,Klamath
CKEC1,Klamath
FTJC1,Klamath
GERO3,Klamath
HAPC1,Klamath
HOOC1,Klamath
HYMC1,Klamath
IRGC1,Klamath
KELO3,Klamath
KEOO3,Klamath
KLAO3,Klamath
KLMC1,Klamath
LEWC1,Klamath
ONSC1,Klamath
SBRC1,Klamath
SCNO3,Klamath
SEIC1,Klamath
SFYC1,Klamath
TRJC1,Klamath
WKAO3,Klamath
WMSO3,Klamath
YREC1,Klamath
HETC1,SanJoaquin
GSJC1,CentralCoast
GUAC1,CentralCoast
GUDC1,CentralCoast
CADC1,CentralCoast
ALRC1,CentralCoast
LEXC1,CentralCoast
