Name,MinElev_m
ACSC1HOF,84
ADLC1LOF,81
ADOC1LOF,148
AHOC1HOF,240
AKYC1HLF,1169
AKYC1HUF,1512
ALQC1HOF,99
ALRC1HOF,176
ANDC1LOF,189
ANTC1HOF,1525
APCC1LOF,10
ARCC1LOF,9
AROC1LOF,26
AVYC1LLF,1031
AVYC1LMF,1509
AWEC1LOF,94
BCAC1LLF,1680
BCAC1LUF,1814
BCKC1HOF,118
BDBC1LOF,87
BHNC1HOF,131
BKCC1HLF,99
BKCC1HUF,1525
BLBC1LLF,112
BLBC1LUF,1525
BLKC1HOF,264
BNCC1HOF,83
BOYO3LLF,1000
BOYO3LUF,1497
BPRC1HLF,1958
BPRC1HUF,2412
BRDC1LOF,138
BRGC1HOF,111
BSCC1HOF,97
BSRC1HOF,73
BTEC1HOF,68
BTJC1HOF,688
BTYO3HLF,1314
BTYO3HUF,1484
BURC1LLF,288
BURC1LUF,1468
BWKC1HOF,1653
CADC1HOF,144
CBAC1LLF,291
CBAC1LUF,1508
CCHC1LOF,209
CDLC1LOF,112
CEGC1LLF,719
CEGC1LUF,1525
CEMC1HLF,1643
CEMC1HUF,2404
CFWC1LOF,74
CHLC1LOF,23
CHSO3LLF,1282
CHSO3LUF,1483
CHVC1HLF,1421
CHVC1HMF,1507
CHVC1HUF,2370
CKEC1HLF,1364
CKEC1HUF,1497
CLKC1LOF,397
CLLC1HOF,20
CMCC1LOF,33
CMIC1LOF,3
CMPC1HLF,73
CMPC1HMF,1453
CMPC1HUF,2403
CNBC1LLF,1302
CNBC1LUF,1677
COTC1HLF,127
COTC1HUF,1525
COYC1HOF,237
CREC1HOF,25
CSKC1LOF,363
CTIC1HOF,24
CVQC1LOF,222
CWAC1HLF,110
CWAC1HUF,1525
CWCC1HLF,116
CWCC1HUF,1525
CYBC1HOF,228
CYEC1LOF,53
DCMC1LOF,20
DCSC1HOF,190
DCVC1HLF,150
DCVC1HUF,1525
DCWC1HOF,21
DEPC1HLF,420
DEPC1HUF,1768
DIXN2HLF,1570
DIXN2HUF,2087
DKHC1HOF,915
DLMC1HLF,173
DLMC1HUF,1516
DLTC1HLF,331
DLTC1HUF,1525
DMCC1HOF,321
DNRC1HOF,1808
DOSC1HLF,277
DOSC1HUF,1503
DRYC1HOF,56
DSNC1HOF,70
DVGN2HLF,1638
DVGN2HUF,2109
DVSC1HOF,1742
EDCC1HLF,224
EDCC1HUF,1525
EDOC1HLF,255
EDOC1HUF,1513
EFBC1HOF,417
ELPC1HOF,223
EPRC1HOF,337
ESRC1HOF,205
ETTC1HOF,182
EWSN2LLF,1396
EWSN2LUF,2415
EXQC1LLF,166
EXQC1LMF,1503
EXQC1LUF,2424
FARC1LLF,1567
FARC1LUF,1804
FHDC1HOF,1674
FMDC1HOF,1536
FMWC1LOF,5
FOCC1HOF,1924
FOLC1LOF,59
FRAC1HLF,123
FRAC1HMF,1479
FRAC1HUF,2358
FRGC1HOF,32
FRNC1LOF,7
FSNC1LOF,6
FTBC1HOF,8
FTCN2LOF,1284
FTDC1LOF,5
FTJC1HLF,801
FTJC1HUF,1474
FTSC1LLF,73
FTSC1LUF,1513
GARC1LOF,111
GERO3HLF,1457
GERO3HUF,1499
GEYC1LOF,59
GRCC1HOF,31
GRDN2LLF,1522
GRDN2LUF,2117
GSJC1LOF,7
GSRC1HOF,16
GUAC1HOF,128
GUDC1LOF,41
GUEC1LOF,-7
GYRC1HLF,750
GYRC1HUF,1488
HANC1LOF,303
HAPC1HLF,366
HAPC1HUF,1471
HAWC1HOF,817
HCHC1HOF,252
HCTC1HOF,185
HEAC1LOF,21
HETC1HLF,1149
HETC1HMF,1459
HETC1HUF,2385
HIDC1HOF,123
HKCC1HOF,85
HLEC1LLF,99
HLEC1LUF,1501
HLLC1LLF,1306
HLLC1LUF,1505
HNEC1HOF,81
HOOC1LLF,85
HOOC1LUF,1463
HOPC1LOF,157
HOSC1LOF,76
HOUC1HOF,471
HOYN2LLF,1512
HOYN2LUF,2411
HPIC1HMF,1227
HPIC1HUF,2382
HRCN2LLF,1505
HRCN2LUF,2099
HREN2LLF,1567
HREN2LUF,2102
HSAC1HOF,188
HYMC1LLF,371
HYMC1LUF,1477
ICHC1HOF,1646
IIFC1LLF,945
IIFC1LUF,1500
ILAC1HOF,2112
INVC1LOF,449
IRGC1LLF,661
IRGC1LUF,1481
ISAC1LLF,749
ISAC1LMF,1356
ISAC1LUF,2297
JKRC1HOF,1806
JNSC1LLF,325
JNSC1LUF,1469
KCVC1HOF,449
KCYC1HOF,133
KELO3LLF,1254
KELO3LUF,1484
KEOO3LLF,1239
KEOO3LUF,1505
KESC1LOF,147
KKVC1HLF,1097
KKVC1HMF,1364
KKVC1HUF,2241
KLAO3LLF,1250
KLAO3LUF,1466
KLMC1LLF,6
KLMC1LUF,1460
KNBC1HOF,796
KNFC1LOF,75
KTRC1HLF,240
KTRC1HMF,1488
KTRC1HUF,2387
LAMC1HOF,203
LBDC1HOF,115
LBEC1LOF,82
LCLN2HOF,1912
LEGC1HOF,214
LEWC1LLF,579
LEXC1HOF,188
LGAC1LOF,144
LGCC1HOF,326
LHPN2HLF,1365
LHPN2HUF,2112
LKMC1HOF,399
LKPC1LOF,299
LLYC1HOF,242
LNLC1HOF,1925
LNRC1HLF,1399
LNRC1HMF,1502
LNRC1HUF,2411
LRRC1LOF,1
LRZC1HOF,41
LSEC1LOF,14
LTDC1HOF,92
LVKC1HOF,156
LWDC1HOF,245
LWON2HLF,1527
LWON2HUF,1807
MARN2HLF,1418
MARN2HUF,2110
MASN2LOF,1348
MAUC1HOF,819
MBON2HLF,1810
MBON2HUF,2086
MBRC1LOF,640
MCNC1LOF,9
MDCN2HLF,1385
MDCN2HUF,2111
MDSC1LOF,12
MEEC1LOF,53
MFAC1LOF,319
MFPC1LLF,776
MFPC1LUF,1525
MFTC1HLF,1474
MFTC1HUF,1506
MHBC1LOF,53
MHSN2LLF,1677
MHSN2LUF,2110
MLMC1HLF,116
MLMC1HUF,1525
MLPC1HLF,171
MLPC1HUF,1511
MMCC1HLF,816
MMCC1HUF,1525
MOSC1LOF,0
MPAC1HOF,111
MPTC1HOF,277
MRMC1LLF,485
MRMC1LUF,1485
MRNC1LOF,67
MRWC1LOF,8
MRYC1LOF,17
MSGC1LOF,34
MSSC1LLF,347
MSSC1LUF,1525
MSYC1HLF,719
MSYC1HUF,1776
MTOC1LOF,18
MTSC1HLF,1749
MTSC1HUF,1817
MUPC1HOF,415
MUTC1HOF,295
MVDC1LOF,908
MVVC1LOF,808
MWEC1LOF,13
MWXC1LOF,210
NACC1LOF,200
NBBC1LLF,420
NBBC1LUF,1472
NBYC1HOF,249
NCOC1LOF,7
NDPC1LLF,232
NDPC1LMF,1495
NDPC1LUF,2425
NDVC1HMF,2036
NDVC1HUF,2422
NFDC1HLF,187
NFDC1HUF,1491
NFEC1LLF,698
NFEC1LUF,1488
NHGC1HOF,161
NILC1LOF,25
NIMC1LOF,25
NIXN2LOF,1207
NMFC1HLF,389
NMFC1HUF,1504
NMSC1LLF,155
NMSC1LMF,1493
NMSC1LUF,2408
NRWC1LOF,25
NSWC1HMF,1949
NSWC1HUF,2421
NVRC1HOF,5
NWMC1LOF,17
OBBC1LOF,36
ONSC1LLF,108
ONSC1LUF,1457
ORDC1LLF,249
ORDC1LUF,1484
OREC1HOF,61
ORFC1LOF,27
ORIC1LOF,8
OURC1LLF,597
OURC1LUF,1442
OWCC1HOF,106
PALN2LLF,1472
PALN2LUF,2111
PATC1LOF,10
PCGC1HOF,276
PCNC1HLF,205
PCNC1HUF,1765
PFTC1HLF,215
PFTC1HMF,1436
PFTC1HUF,2262
PHOC1HOF,68
PIIC1HOF,284
PITC1LLF,325
PITC1LUF,1677
PLBC1HLF,534
PLBC1HUF,1509
PLGC1LLF,394
PLGC1LUF,1485
PLLC1HLF,1367
PLLC1HUF,1499
PLYC1HLF,1378
PLYC1HUF,1677
PNEC1HOF,136
POHC1LLF,1177
POHC1LMF,1430
POHC1LUF,2298
PRBC1HOF,202
PSRC1HLF,1710
PSRC1HUF,1816
PTTC1HOF,58
PYMC1HOF,777
RADC1HOF,805
RBBC1HOF,1952
RCVC1HOF,29
RDGC1LOF,208
RDRC1HOF,85
RIPC1LOF,14
RMKC1HOF,56
RMSC1LOF,123
ROCN2HLF,1424
ROCN2HUF,2097
ROLC1HLF,601
ROLC1HUF,1499
RRGC1LOF,1515
RUFC1LLF,359
RUFC1LUF,1502
RVBC1LOF,-2
SACC1LOF,3
SAMC1LOF,6
SBRC1HLF,148
SBRC1HUF,1464
SCBC1HLF,954
SCBC1HUF,1497
SCNO3HLF,1316
SCNO3HUF,1490
SCOC1LOF,15
SCPC1LOF,218
SCRN2LLF,1402
SCRN2LUF,1809
SCSC1LLF,188
SCSC1LMF,1448
SCSC1LUF,2406
SCWN2LLF,1335
SCWN2LUF,1805
SDDC1LOF,50
SEIC1LLF,397
SEIC1LUF,1408
SESC1HOF,163
SFCC1HOF,34
SFYC1HLF,390
SFYC1HUF,1479
SGEC1LLF,219
SGEC1LUF,1525
SGNC1HOF,1928
SHDC1LOF,310
SHEC1HOF,59
SHRC1LOF,83
SKPC1HOF,425
SKRC1HLF,877
SKRC1HMF,1370
SKRC1HUF,2315
SLOC1LOF,6
SLUC1HOF,65
SMHC1LOF,289
SNRC1LOF,185
SOLC1HOF,106
SOSC1HLF,505
SOSC1HUF,1512
SPRC1LOF,4
SREC1LLF,291
SREC1LUF,2332
SRWC1HLF,627
SRWC1HUF,2379
SSAC1HOF,40
SSQC1HOF,190
STPC1LLF,1742
STPC1LUF,1815
STVC1LOF,18
STWN2LLF,1409
STWN2LUF,2110
SUAC1LOF,1457
SUSC1HLF,1292
SUSC1HUF,1816
SVCC1LLF,836
SVCC1LUF,1511
SVIC1HOF,148
SVWC1HOF,966
TAHC1HOF,1875
TBDN2LOF,1280
TCCC1HLF,779
TCCC1HUF,1525
TCRC1HLF,213
TCRC1HUF,1525
TEHC1LLF,58
TEHC1LUF,1525
TEKC1HOF,484
TESC1HOF,158
THTC1LOF,1
TIMC1HOF,316
TMDC1LLF,154
TMDC1LMF,1471
TMDC1LUF,2411
TRCC1LOF,1789
TRJC1LLF,442
TRJC1LUF,1464
TRRN2LLF,1355
TRRN2LUF,1804
TSLC1HOF,178
TVRC1HLF,292
TVRC1HMF,1506
TVRC1HUF,2407
TWDC1LOF,150
UKAC1HOF,188
UNVC1HLF,1383
UNVC1HUF,1511
VCAC1LOF,12
VISN2LOF,1333
VLKC1LOF,410
VNSC1LOF,3
VRVC1HOF,66
VWBC1LOF,49
WADN2LOF,1236
WALN2LOF,1221
WARC1HOF,295
WBGC1HLF,482
WBGC1HUF,1503
WFMC1LOF,920
WHSC1HOF,366
WHWC1LLF,-67
WHWC1LUF,1749
WIPC1HLF,316
WIPC1HUF,1752
WKAO3HLF,1366
WKAO3HUF,1476
WMSO3LLF,1267
WMSO3LUF,1502
WOOC1HOF,1752
WSDC1HOF,59
WTIC1LOF,-5
WWBC1HLF,2007
WWBC1HUF,2414
WWHN2LLF,1386
WWHN2LUF,2410
WWIC1LLF,51
WWIC1LUF,1698
YDRC1LOF,22
YOLC1LOF,22
YREC1HLF,625
YREC1HUF,1454
YTLC1LOF,296
YUBC1LOF,12
